gene_id,gene_name,abundance
b2742,nlpD,93.1
b0048,folA,93.1
b0120,speD,92.6
b0112,aroP,92.4
b4395,ytjC,92.3
b4113,basR,92.2
b0804,ybiX,92.2
b0123,cueO,92.1
b4263,yjgR,91.9
b1186,nhaB,90.5
b0592,fepB,90.5
b3070,yqjH,90.4
b3802,hemY,89.6
b1693,aroD,89.5
b4137,cutA,89.4
b3605,lldD,89.2
b3037,ygiB,89.1
b2290,alaA,88.6
b4173,hflX,88.4
b0456,ybaA,86.8
b3438,gntR,86.4
b0029,ispH,86.4
b2620,smpB,86.1
b0091,murC,86.1
b2833,ygdR,86.1
b4180,rlmB,85.7
b1461,pptA,85.7
b2573,rpoE,85.1
b1462,yddH,85
b3198,kdsC,84.4
b4397,creA,84.4
b3994,thiC,84.1
b4161,rsgA,83.7
b1982,amn,83.6
b3552,yiaD,83.5
b2594,rluD,83.1
b2034,wbbI,82.8
b1126,potA,82.8
b2392,mntH,82.6
b3843,ubiD,82.5
b0581,ybdK,82.1
b3454,livF,82.1
b4055,aphA,81.8
b3162,deaD,81.8
b0331,prpB,81.5
b1885,tap,81.4
b1252,tonB,81.3
b2240,glpT,81.2
b2746,ispF,81
b0006,yaaA,80.3
b3894,fdoG,78.9
b0506,allR,78.9
b2279,nuoK,78.8
b0088,murD,78.7
b0772,ybhC,78.3
b3146,rsmI,78.2
b1768,pncA,77.9
b1703,ppsR,77.9
b2795,ygdH,77.9
b1277,ribA,77.8
b0268,yagE,77.4
b0124,gcd,77.1
b1377,ompN,76.5
b3838,tatB,76.3
b3432,glgB,75.9
b2804,fucU,75.8
b0102,zapD,75.6
b1204,pth,75.5
b1848,yebG,75.5
b3147,lpoA,75.4
b2081,yegQ,75.3
b0009,mog,75.3
b2700,pncC,75.2
b3447,ggt,75.2
b0904,focA,75
b1269,rluB,74.9
b0462,acrB,74.6
b1593,ynfK,74.4
b3205,yhbJ,74.2
b0779,uvrB,74.1
b4046,zur,74.1
b3034,nudF,74
b0080,cra,73.9
b0922,mukF,73.7
b0221,fadE,73
b3541,dppD,72.9
b1079,flgH,72.9
b2494,bepA,72.6
b3999,yjaG,72.2
b1684,sufA,72
b2243,glpC,71.9
b0030,rihC,71.9
b3891,fdhE,71.5
b0961,yccF,71.3
b2527,hscB,71.3
b2587,kgtP,71
b4392,slt,71
b0522,purK,70.7
b0711,ybgJ,70.6
b3528,dctA,70.5
b4043,lexA,70.4
b4206,ytfB,70.3
b4360,yjjA,70.3
b1839,yebY,70
b3487,yhiI,69.9
b0388,aroL,69.8
b1724,ydiZ,69.6
b1687,ydiJ,69.5
b3868,glnG,69.4
b1498,ydeN,69.4
b3518,yhjA,69
b3225,nanA,69
b4354,yjiY,68.5
b2526,hscA,68.4
b4314,fimA,68.4
b0409,secF,68.1
b0712,ybgK,68.1
b1247,oppF,67.7
b2500,purN,67.6
b0127,yadG,67.5
b4511,ybdZ,67.4
b0051,rsmA,67.4
b1787,yeaK,67.3
b4110,yjcZ,67.2
b2137,yohF,67.1
b3888,yiiD,67.1
b3071,yqjI,67.1
b0784,moaD,67
b0384,psiF,67
b1043,csgC,66.9
b0737,tolQ,66.9
b0778,bioD,66.9
b3771,ilvD,66.8
b3940,metL,66.8
b4269,ahr,66.3
b0182,lpxB,66.1
b1767,ansA,65.8
b4019,metH,65.7
b2818,argA,65.6
b0333,prpC,65.5
b3738,atpB,65.3
b4058,uvrA,65.3
b0515,allE,65
b1180,ycgM,64.7
b3809,dapF,64.6
b1284,yciT,64.6
b2293,yfbT,64.6
b2038,rfbC,64.4
b0661,miaB,64.3
b1422,ydcI,63.8
b2675,nrdE,63.4
b1014,putA,63
b0485,glsA,62.7
b3155,yhbQ,62.5
b1624,ydgJ,62.5
b4371,rsmC,62.4
b1244,oppB,62.4
b1686,menI,62
b0421,ispA,61.7
b3927,glpF,61.6
b2154,yeiG,61.3
b2344,fadL,61.2
b1584,speG,61.2
b3348,slyX,61.1
b0092,ddlB,60.9
b3727,pstC,60.5
b0572,cusC,60.5
b1198,dhaM,60.5
b0947,ycbX,60.1
b0420,dxs,59.5
b1814,sdaA,59.5
b3543,dppB,59.5
b2066,udk,59.4
b3099,yqjE,59.3
b0241,phoE,59.1
b0086,murF,59
b0494,tesA,59
b0414,ribD,58.9
b1246,oppD,58.9
b0968,yccX,58.9
b0354,yaiL,58.8
b3752,rbsK,58.7
b1400,paaY,58.7
b0423,thiI,58.5
b3195,mlaF,58.5
b1307,pspD,58.5
b2473,ypfH,58.4
b3540,dppF,58
b0174,ispU,58
b3400,hslR,57.9
b2325,yfcL,57.8
b0761,modE,57.7
b0574,cusB,57.6
b1245,oppC,57.5
b4323,uxuB,57.5
b3361,fic,57.4
b1981,shiA,56.8
b3481,nikR,56.5
b1914,uvrY,56.5
b2439,eutL,56.1
b0187,yaeR,56.1
b1038,csgF,56.1
b3493,pitA,55.8
b3450,ugpC,55.4
b1924,fliD,55.4
b0597,entH,55.3
b1120,cobB,55.3
b0662,ubiF,55.2
b4127,yjdJ,54.3
b2566,era,54.3
b1347,ydaC,54.2
b2301,yfcF,54.2
b2132,bglX,54.2
b2369,evgA,54
b2501,ppk,53.9
b3418,malT,53.8
